"STATE__","BGN_DATE","BGN_TIME","TIME_ZONE","COUNTY","COUNTYNAME","STATE","EVTYPE","BGN_RANGE","BGN_AZI","BGN_LOCATI","END_DATE","END_TIME","COUNTY_END","COUNTYENDN","END_RANGE","END_AZI","END_LOCATI","LENGTH","WIDTH","F","MAG","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","WFO","STATEOFFIC","ZONENAMES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","REMARKS","REFNUM","PROPDMGTOTAL"
"28616",17,"7/19/1956 0:00:00","2005","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8805,0,0,"",28616,NA
"28630",17,"8/18/1956 0:00:00","1000","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,70,0,0,0,NA,0,"","","","",4200,8754,0,0,"",28630,NA
"28633",17,"8/23/1956 0:00:00","1440","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0,40,2,0,0,3,250,1000,0,"","","","",4135,8747,0,0,"",28633,250000
"28646",17,"3/14/1957 0:00:00","1830","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8754,0,0,"",28646,NA
"28686",17,"7/12/1957 0:00:00","1700","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,150,0,0,0,NA,0,"","","","",4200,8754,0,0,"",28686,NA
"28689",17,"8/2/1957 0:00:00","1530","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28689,NA
"28690",17,"8/2/1957 0:00:00","1530","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,58,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28690,NA
"28820",17,"8/30/1958 0:00:00","2255","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",1,70,1,0,0,0,25,1000,0,"","","","",4148,8748,0,0,"",28820,25000
"28823",17,"10/9/1958 0:00:00","0045","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4200,8800,0,0,"",28823,NA
"28824",17,"10/9/1958 0:00:00","0045","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,64,0,0,0,NA,0,"","","","",4200,8800,0,0,"",28824,NA
"28840",17,"5/3/1959 0:00:00","1725","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4130,8735,0,0,"",28840,NA
"28846",17,"5/26/1959 0:00:00","1934","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0,33,NA,0,0,0,0.25,1000,0,"","","","",4200,8758,0,0,"",28846,250
"28855",17,"7/10/1959 0:00:00","2037","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,60,0,0,0,NA,0,"","","","",4200,8754,0,0,"",28855,NA
"28862",17,"9/21/1959 0:00:00","1447","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",2,40,1,0,0,0,25,1000,0,"","","","",4201,8750,0,0,"",28862,25000
"28863",17,"9/21/1959 0:00:00","1600","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8747,0,0,"",28863,NA
"28878",17,"9/26/1959 0:00:00","1800","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",12.1,33,1,0,0,14,250,1000,0,"","","","",4208,8802,4215,8751,"",28878,250000
"28879",17,"9/26/1959 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,65,0,0,0,NA,0,"","","","",4200,8754,0,0,"",28879,NA
"28884",17,"9/27/1959 0:00:00","2300","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28884,NA
"28902",17,"4/16/1960 0:00:00","2041","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,63,0,0,0,NA,0,"","","","",4200,8754,0,0,"",28902,NA
"28915",17,"4/30/1960 0:00:00","1400","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28915,NA
"28943",17,"6/15/1960 0:00:00","1400","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4147,8747,0,0,"",28943,NA
"28975",17,"8/3/1960 0:00:00","0900","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,65,0,0,0,NA,0,"","","","",4200,8754,0,0,"",28975,NA
"28988",17,"9/8/1960 0:00:00","2000","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,85,0,0,0,NA,0,"","","","",4153,8754,0,0,"",28988,NA
"29002",17,"3/4/1961 0:00:00","1704","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",7.9,100,2,0,1,115,25,1e+06,0,"","","","",4154,8742,4159,8735,"",29002,2.5e+07
"29026",17,"4/24/1961 0:00:00","1730","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4205,8811,0,0,"",29026,NA
"29059",17,"6/13/1961 0:00:00","1120","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4135,8735,0,0,"",29059,NA
"29063",17,"6/24/1961 0:00:00","1630","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8741,0,0,"",29063,NA
"29120",17,"4/30/1962 0:00:00","1330","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,60,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29120,NA
"29133",17,"5/12/1962 0:00:00","0725","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,62,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29133,NA
"29134",17,"5/12/1962 0:00:00","0737","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,60,0,0,0,NA,0,"","","","",4147,8741,0,0,"",29134,NA
"29149",17,"6/8/1962 0:00:00","1730","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,50,0,0,0,NA,0,"","","","",4153,8747,0,0,"",29149,NA
"29150",17,"6/23/1962 0:00:00","1652","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0.5,100,2,0,0,10,250,1000,0,"","","","",4136,8743,0,0,"",29150,250000
"29160",17,"7/22/1962 0:00:00","1445","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,200,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29160,NA
"29172",17,"4/17/1963 0:00:00","1500","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,70,0,0,0,NA,0,"","","","",4153,8747,0,0,"",29172,NA
"29173",17,"4/17/1963 0:00:00","1504","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29173,NA
"29176",17,"4/17/1963 0:00:00","1625","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,150,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29176,NA
"29202",17,"6/8/1963 0:00:00","2230","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4205,8754,0,0,"",29202,NA
"29206",17,"6/10/1963 0:00:00","1400","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29206,NA
"29230",17,"7/19/1963 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,55,0,0,0,NA,0,"","","","",4205,8754,0,0,"",29230,NA
"29231",17,"7/19/1963 0:00:00","2000","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4142,8747,0,0,"",29231,NA
"29232",17,"7/21/1963 0:00:00","1730","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4142,8747,0,0,"",29232,NA
"29233",17,"7/21/1963 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29233,NA
"29234",17,"7/22/1963 0:00:00","1730","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4147,8735,0,0,"",29234,NA
"29236",17,"8/2/1963 0:00:00","0600","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29236,NA
"29240",17,"8/16/1963 0:00:00","2300","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29240,NA
"29245",17,"11/17/1963 0:00:00","1945","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4205,8754,0,0,"",29245,NA
"29280",17,"4/24/1964 0:00:00","1645","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29280,NA
"29286",17,"5/8/1964 0:00:00","2055","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,54,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29286,NA
"29294",17,"6/19/1964 0:00:00","1855","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4142,8747,0,0,"",29294,NA
"29295",17,"6/19/1964 0:00:00","1855","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4135,8747,0,0,"",29295,NA
"29301",17,"6/22/1964 0:00:00","1645","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8805,0,0,"",29301,NA
"29310",17,"7/28/1964 0:00:00","2004","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,NA,0,"","","","",4205,8747,0,0,"",29310,NA
"29327",17,"4/11/1965 0:00:00","1634","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,60,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29327,NA
"29328",17,"4/11/1965 0:00:00","1710","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8735,0,0,"",29328,NA
"29350",17,"5/26/1965 0:00:00","0800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8805,0,0,"",29350,NA
"29352",17,"5/26/1965 0:00:00","0815","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0,70,2,0,0,0,250,1000,0,"","","","",4159,8755,4200,8753,"",29352,250000
"29353",17,"5/26/1965 0:00:00","0822","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",1,50,2,0,0,0,25,1000,0,"","","","",4130,8742,0,0,"",29353,25000
"29357",17,"6/5/1965 0:00:00","1533","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29357,NA
"29359",17,"6/8/1965 0:00:00","1700","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,175,0,0,0,NA,0,"","","","",4147,8735,0,0,"",29359,NA
"29360",17,"6/20/1965 0:00:00","1525","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,55,0,0,0,NA,0,"","","","",4205,8800,0,0,"",29360,NA
"29367",17,"6/23/1965 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29367,NA
"29373",17,"7/17/1965 0:00:00","0315","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8805,0,0,"",29373,NA
"29380",17,"8/6/1965 0:00:00","1900","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,50,0,0,0,NA,0,"","","","",4147,8741,0,0,"",29380,NA
"29384",17,"8/18/1965 0:00:00","1505","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8800,0,0,"",29384,NA
"29390",17,"8/26/1965 0:00:00","2310","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",2,70,1,0,0,0,0,1000,0,"","","","",4131,8741,0,0,"",29390,0
"29391",17,"8/26/1965 0:00:00","2320","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,62,0,0,0,NA,0,"","","","",4135,8747,0,0,"",29391,NA
"29393",17,"8/26/1965 0:00:00","2320","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,72,0,0,0,NA,0,"","","","",4130,8735,0,0,"",29393,NA
"29394",17,"8/26/1965 0:00:00","2325","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4153,8747,0,0,"",29394,NA
"29395",17,"8/26/1965 0:00:00","2330","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4130,8735,0,0,"",29395,NA
"29396",17,"8/26/1965 0:00:00","2359","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,63,0,0,0,NA,0,"","","","",4142,8741,0,0,"",29396,NA
"29417",17,"11/12/1965 0:00:00","1430","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,125,0,0,0,NA,0,"","","","",4147,8735,0,0,"",29417,NA
"29422",17,"11/12/1965 0:00:00","1545","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0,120,2,0,0,0,25,1e+06,0,"","","","",4134,8748,4134,8747,"",29422,2.5e+07
"29434",17,"12/24/1965 0:00:00","2126","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,50,0,0,0,NA,0,"","","","",4147,8735,0,0,"",29434,NA
"29443",17,"3/21/1966 0:00:00","1755","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,175,0,0,0,NA,0,"","","","",4200,8741,0,0,"",29443,NA
"29470",17,"6/9/1966 0:00:00","0510","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0,33,0,0,0,0,0,1000,0,"","","","",4206,8801,0,0,"",29470,0
"29471",17,"6/9/1966 0:00:00","0514","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,69,0,0,0,NA,0,"","","","",4205,8747,0,0,"",29471,NA
"29472",17,"6/9/1966 0:00:00","0515","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0,33,2,0,0,0,0,1000,0,"","","","",4206,8801,0,0,"",29472,0
"29473",17,"6/9/1966 0:00:00","0515","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4205,8800,0,0,"",29473,NA
"29474",17,"6/9/1966 0:00:00","0520","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",2.5,33,2,0,1,30,0,1000,0,"","","","",4206,8756,0,0,"",29474,0
"29475",17,"6/9/1966 0:00:00","0520","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8741,0,0,"",29475,NA
"29493",17,"7/11/1966 0:00:00","0019","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,61,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29493,NA
"29494",17,"7/11/1966 0:00:00","0025","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29494,NA
"29495",17,"7/11/1966 0:00:00","0027","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4205,8800,0,0,"",29495,NA
"29496",17,"7/11/1966 0:00:00","0040","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,69,0,0,0,NA,0,"","","","",4205,8754,0,0,"",29496,NA
"29497",17,"7/11/1966 0:00:00","0110","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29497,NA
"29499",17,"7/13/1966 0:00:00","0955","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4130,8735,0,0,"",29499,NA
"29501",17,"7/18/1966 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,175,0,0,0,NA,0,"","","","",4147,8754,0,0,"",29501,NA
"29506",17,"7/28/1966 0:00:00","1400","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4205,8747,0,0,"",29506,NA
"29555",17,"4/21/1967 0:00:00","1622","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,55,0,0,0,NA,0,"","","","",4200,8747,0,0,"",29555,NA
"29566",17,"4/21/1967 0:00:00","1724","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",15,200,4,0,33,500,25,1e+06,0,"","","","",4140,8750,4144,8733,"",29566,2.5e+07
"29567",17,"4/21/1967 0:00:00","1740","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",0.3,10,1,0,0,0,25,1000,0,"","","","",4136,8736,0,0,"",29567,25000
"29568",17,"4/21/1967 0:00:00","1800","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,61,0,0,0,NA,0,"","","","",4205,8747,0,0,"",29568,NA
"29582",17,"6/10/1967 0:00:00","1300","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29582,NA
"29589",17,"6/16/1967 0:00:00","1210","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29589,NA
"29591",17,"6/16/1967 0:00:00","1250","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,55,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29591,NA
"29592",17,"6/16/1967 0:00:00","1330","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4142,8735,0,0,"",29592,NA
"29594",17,"6/16/1967 0:00:00","1804","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4205,8747,0,0,"",29594,NA
"29603",17,"7/11/1967 0:00:00","1400","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,60,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29603,NA
"29604",17,"7/11/1967 0:00:00","1400","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29604,NA
"29607",17,"7/23/1967 0:00:00","0550","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,55,0,0,0,NA,0,"","","","",4147,8741,0,0,"",29607,NA
"29619",17,"8/3/1967 0:00:00","1815","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,NA,0,"","","","",4205,8811,0,0,"",29619,NA
"29627",17,"10/24/1967 0:00:00","1440","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,52,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29627,NA
"29645",17,"5/15/1968 0:00:00","1145","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4142,8754,0,0,"",29645,NA
"29658",17,"6/9/1968 0:00:00","1928","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,56,0,0,0,NA,0,"","","","",4142,8747,0,0,"",29658,NA
"29667",17,"6/18/1968 0:00:00","1812","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,50,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29667,NA
"29670",17,"6/23/1968 0:00:00","1638","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,60,0,0,0,NA,0,"","","","",4135,8741,0,0,"",29670,NA
"29681",17,"7/23/1968 0:00:00","1425","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29681,NA
"29707",17,"5/31/1969 0:00:00","1230","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4142,8747,0,0,"",29707,NA
"29713",17,"6/19/1969 0:00:00","2217","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,100,0,0,0,NA,0,"","","","",4205,8747,0,0,"",29713,NA
"29730",17,"6/29/1969 0:00:00","2215","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29730,NA
"29732",17,"6/29/1969 0:00:00","2335","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4142,8741,0,0,"",29732,NA
"29794",17,"4/29/1970 0:00:00","2345","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,75,0,0,0,NA,0,"","","","",4142,8747,0,0,"",29794,NA
"29797",17,"4/30/1970 0:00:00","1425","CST",31,"COOK","IL","TORNADO",0,"","","","",0,NA,0,"","",4.9,33,2,0,0,9,25,1000,0,"","","","",4200,8754,4203,8749,"",29797,25000
"29800",17,"5/9/1970 0:00:00","1350","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4205,8800,0,0,"",29800,NA
"29814",17,"5/29/1970 0:00:00","1515","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4200,8754,0,0,"",29814,NA
"29847",17,"7/2/1970 0:00:00","1622","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,58,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29847,NA
"29848",17,"7/2/1970 0:00:00","1640","CST",31,"COOK","IL","THUNDERSTORM",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,NA,0,"","","","",4147,8747,0,0,"",29848,NA
